Player,O_PER
Luka Doncic,14.0
Giannis Antetokounmpo,13.2
Nikola Jokic,12.8
Shai Gilgeous-Alexander,12.1
Jalen Brunson,12.0
LeBron James,11.3
Devin Booker,11.3
Donovan Mitchell,11.0
Tyrese Maxey,10.8
De'Aaron Fox,10.8
Kevin Durant,10.7
Anthony Davis,10.6
Jayson Tatum,10.6
Damian Lillard,10.5
Anthony Edwards,10.5
Stephen Curry,10.5
Domantas Sabonis,10.4
Tyrese Haliburton,10.1
Cade Cunningham,10.0
Zion Williamson,10.0
Kyrie Irving,9.9
Paolo Banchero,9.8
DeMar DeRozan,9.8
Dejounte Murray,9.7
Alperen Sengun,9.7
Kawhi Leonard,9.4
Scottie Barnes,9.4
Jaylen Brown,9.3
Pascal Siakam,9.3
Victor Wembanyama,9.2
Jimmy Butler,9.2
Jamal Murray,9.1
Kyle Kuzma,8.8
Paul George,8.7
Karl-Anthony Towns,8.6
Brandon Ingram,8.6
Terry Rozier,8.5
James Harden,8.5
Cam Thomas,8.5
Fred VanVleet,8.5
Miles Bridges,8.5
Bam Adebayo,8.5
Franz Wagner,8.2
Nikola Vucevic,8.1
Coby White,8.1
CJ McCollum,8.1
D'Angelo Russell,8.0
Darius Garland,8.0
Jaren Jackson Jr.,7.9
Jalen Williams,7.9
