Player,O-PER
A'ja Wilson,10.4
Arike Ogunbowale,9.4
Kahleah Copper,8.0
Breanna Stewart,8.5
Napheesa Collier,8.7
Jewell Loyd,8.0
Caitlin Clark,9.3
Kelsey Mitchell,7.2
Sabrina Ionescu,8.4
Satou Sabally,8.0
Kelsey Plum,7.4
Brittney Griner,7.3
Natasha Howard,7.5
Chennedy Carter,7.1
Rhyne Howard,7.1
Dearica Hamby,7.4
Nneka Ogwumike,7.0
Jackie Young,7.3
Allisha Gray,6.5
Skylar Diggins-Smith,7.4
Kayla McBride,6.2
DeWanna Bonner,5.9
Diana Taurasi,6.2
Ariel Atkins,6.3
Tina Charles,6.6
Marina Mabrey,6.4
Jonquel Jones,6.4
Aliyah Boston,6.7
Brionna Jones,5.8
Angel Reese,6.9
Rickea Jackson,5.4
DiJonai Carrington,5.2
Odyssey Sims,6.2
Odyssey Sims,6.2
Odyssey Sims,6.2
Brittney Sykes,5.3
Shakira Austin,4.8
Teaira McCowan,5.4
Ezi Magbegor,5.3
Natasha Cloud,6.3
Courtney Williams,5.7
Alyssa Thomas,7.0
NaLyssa Smith,4.5
Jordin Canada,5.7
Tyasha Harris,4.6
Gabby Williams,4.9
Alanna Smith,5.0
Elizabeth Williams,4.8
Kamilla Cardoso,4.8
Azurá Stevens,4.2
