Player,2024 Salary
Stephen Curry,51915615.0
Kevin Durant,47649433.0
Nikola Jokic,47607350.0
Joel Embiid,47607350.0
LeBron James,47607350.0
Bradley Beal,46741590.0
Paul George,45640084.0
Kawhi Leonard,45640084.0
Giannis Antetokounmpo,45640084.0
Damian Lillard,45640084.0
Jimmy Butler,45183960.0
Klay Thompson,43219440.0
Rudy Gobert,41000000.0
Fred VanVleet,40806300.0
Anthony Davis,40600080.0
Trae Young,40064220.0
Zach LaVine,40064220.0
Luka Doncic,40064220.0
Tobias Harris,39270150.0
Kyrie Irving,38037037.0
Pascal Siakam,37893408.0
Ben Simmons,37893408.0
Jrue Holiday,37620347.0
Kristaps Porzingis,36016200.0
Karl-Anthony Towns,36016200.0
Devin Booker,36016200.0
CJ McCollum,35802469.0
James Harden,35680595.0
Zion Williamson,34005250.0
Ja Morant,34005250.0
Darius Garland,34005250.0
Jamal Murray,33833400.0
Brandon Ingram,33833400.0
Michael Porter,33386850.0
Shai Gilgeous-Alexander,33386850.0
Gordon Hayward,33319397.0
Donovan Mitchell,33162030.0
Bam Adebayo,32600060.0
De'Aaron Fox,32600060.0
Jayson Tatum,32600060.0
Deandre Ayton,32459438.0
Jaylen Brown,31830357.0
Chris Paul,30800000.0
Kyle Lowry,29682540.0
Khris Middleton,29320988.0
Domantas Sabonis,29300000.0
DeMar DeRozan,28600000.0
Jordan Poole,27955357.0
Jerami Grant,27586207.0
Jaren Jackson Jr,27102202.0
Tyler Herro,27000000.0
Julius Randle,26943840.0
Jalen Brunson,26346666.0
Cameron Johnson,25679348.0
Kyle Kuzma,25568182.0
John Collins,25340000.0
Brook Lopez,25000000.0
Mike Conley,24360000.0
Andrew Wiggins,24330357.0
Anfernee Simons,24107143.0
RJ Barrett,23883929.0
Jordan Clarkson,23487629.0
Terry Rozier,23205221.0
Dillon Brooks,22627671.0
Malcolm Brogdon,22500000.0
Draymond Green,22321429.0
Bruce Brown,22000000.0
Mikal Bridges,21700000.0
Aaron Gordon,21266182.0
Myles Turner,20975000.0
Clint Capela,20616000.0
Lonzo Ball,20465117.0
Spencer Dinwiddie,20411797.0
De'Andre Hunter,20089286.0
Jarrett Allen,20000000.0
Bojan Bogdanovic,20000000.0
Keldon Johnson,20000000.0
Joe Harris,19928571.0
Jakob Poeltl,19500000.0
Buddy Hield,19321859.0
Derrick White,18857143.0
Evan Fournier,18857143.0
Bogdan Bogdanovic,18700000.0
OG Anunoby,18642857.0
Marcus Smart,18583713.0
Gary Trent Jr,18560000.0
Nikola Vucevic,18518519.0
Dejounte Murray,18214000.0
Duncan Robinson,18154000.0
Norman Powell,18000000.0
Tim Hardaway Jr,17897728.0
Marcus Morris,17612280.0
Collin Sexton,17525000.0
Jonathan Isaac,17400000.0
D'Angelo Russell,17307693.0
Lauri Markkanen,17259999.0
Harrison Barnes,17000000.0
Davis Bertans,17000000.0
Markelle Fultz,17000000.0
Jusuf Nurkic,16875000.0
PJ Washington,16847826.0
Kevin Porter,15860000.0
Rui Hachimura,15740741.0
Mitchell Robinson,15681818.0
Kevin Huerter,15669643.0
Jonas Valanciunas,15435000.0
Caris LeVert,15384616.0
Luguentz Dort,15277778.0
Luke Kennard,14763636.0
Kentavious Caldwell-Pope,14704938.0
Max Strus,14487684.0
Reggie Bullock,14210528.0
Doug McDermott,14000000.0
Tyus Jones,14000000.0
Dorian Finney-Smith,13932008.0
Anthony Edwards,13534817.0
Wendell Carter,13050000.0
Gary Harris,13000000.0
Josh Hart,12960000.0
Naz Reid,12950400.0
Steven Adams,12600000.0
Brandon Clarke,12500000.0
Marvin Bagley,12500000.0
Dennis Schroeder,12405000.0
Grant Williams,12405000.0
Daniel Gafford,12402000.0
Kelly Olynyk,12195122.0
Victor Wembanyama,12160632.0
James Wiseman,12119440.0
Devonte Graham,12100000.0
Richaun Holmes,12046020.0
Austin Reaves,12015150.0
Herb Jones,12015150.0
Chris Boucher,11750000.0
Nicolas Batum,11710818.0
Bobby Portis,11710818.0
Robert Covington,11692308.0
Paolo Banchero,11608080.0
Robert Williams,11571429.0
Coby White,11111111.0
Cade Cunningham,11055360.0
Talen Horton-Tucker,11020000.0
PJ Tucker,11014500.0
Joe Ingles,11000000.0
Maxi Kleber,11000000.0
Ivica Zubac,10933333.0
LaMelo Ball,10900635.0
Donte DiVincenzo,10900000.0
Brandon Miller,10880364.0
Terance Mann,10576923.0
