Player,Value
Tyrese Haliburton,10.42
Luka Doncic,9.39
Nikola Jokic,8.92
James Harden,8.49
LeBron James,8.28
Domantas Sabonis,8.18
Fred VanVleet,8.07
Cade Cunningham,7.48
Tyus Jones,7.35
Devin Booker,6.89
Damian Lillard,6.86
Jalen Brunson,6.84
Chris Paul,6.69
Giannis Antetokounmpo,6.52
Dejounte Murray,6.44
Darius Garland,6.41
Jamal Murray,6.35
Tyrese Maxey,6.23
Shai Gilgeous-Alexander,6.22
D'Angelo Russell,6.22
Tre Jones,6.21
Dennis Schroder,6.10
Scottie Barnes,6.05
Mike Conley,5.88
Donovan Mitchell,5.85
De'Aaron Fox,5.64
Terry Rozier,5.61
Brandon Ingram,5.51
T.J. McConnell,5.45
Scoot Henderson,5.42
Austin Reaves,5.36
DeMar DeRozan,5.36
Anthony Edwards,5.36
Paolo Banchero,5.28
Khris Middleton,5.25
Jayson Tatum,5.19
Kyrie Irving,5.15
Malik Monk,5.14
Coby White,5.12
Stephen Curry,5.08
Zion Williamson,5.03
Jimmy Butler,4.97
Alperen Sengun,4.95
Kevin Durant,4.95
Derrick White,4.93
Collin Sexton,4.91
Immanuel Quickley,4.87
Jrue Holiday,4.73
Caris LeVert,4.70
Jalen Williams,4.64
CJ McCollum,4.63
Josh Giddey,4.52
Spencer Dinwiddie,4.45
Kelly Olynyk,4.45
Keyonte George,4.43
Andrew Nembhard,4.40
Jordan Poole,4.40
Vasilije Micic,4.37
Russell Westbrook,4.27
Kyle Kuzma,4.23
Pascal Siakam,4.19
Kyle Lowry,4.15
Josh Hart,4.15
Devin Vassell,4.07
Kyle Anderson,3.93
Jusuf Nurkic,3.90
Max Strus,3.88
Bam Adebayo,3.87
Victor Wembanyama,3.86
Kris Dunn,3.85
Jaden Ivey,3.84
Deni Avdija,3.81
Franz Wagner,3.80
Aaron Gordon,3.67
Brandin Podziemski,3.65
Mikal Bridges,3.65
Paul George,3.64
Jalen Green,3.55
Kawhi Leonard,3.54
Anthony Davis,3.51
Jaylen Brown,3.49
Alex Caruso,3.47
Reggie Jackson,3.40
Jeremy Sochan,3.36
Miles Bridges,3.35
Nikola Vucevic,3.35
RJ Barrett,3.33
Marcus Sasser,3.32
Ayo Dosunmu,3.19
Payton Pritchard,3.18
Bogdan Bogdanovic,3.14
Patrick Beverley,3.10
Evan Mobley,3.03
Tobias Harris,2.99
Grayson Allen,2.97
Karl-Anthony Towns,2.96
Cam Thomas,2.91
Joe Ingles,2.87
Bruce Brown,2.84
Keldon Johnson,2.83
