Player,Value
Victor Wembanyama,3.58
Walker Kessler,2.41
Chet Holmgren,2.34
Anthony Davis,2.33
Brook Lopez,2.31
Nic Claxton,2.06
Rudy Gobert,1.95
Daniel Gafford,1.94
Kristaps Porzingis,1.91
Myles Turner,1.78
Jaren Jackson Jr.,1.61
Evan Mobley,1.58
Scottie Barnes,1.47
Clint Capela,1.43
Dereck Lively II,1.28
Kevin Durant,1.23
Jonathan Isaac,1.22
Derrick White,1.20
Ivica Zubac,1.16
Goga Bitadze,1.13
Nick Richards,1.10
Isaiah Hartenstein,1.10
Trayce Jackson-Davis,1.10
Giannis Antetokounmpo,1.08
Jusuf Nurkic,1.08
Jarrett Allen,1.05
Peyton Watson,1.04
Isaiah Jackson,1.04
Paul Reed,0.99
Shai Gilgeous-Alexander,0.99
Alex Caruso,0.97
Precious Achiuwa,0.96
Ausar Thompson,0.94
Al Horford,0.93
Bam Adebayo,0.90
John Collins,0.90
Santi Aldama,0.89
Naz Reid,0.88
Luke Kornet,0.87
Kawhi Leonard,0.86
Daniel Theis,0.84
Nikola Jokic,0.84
Fred VanVleet,0.81
James Harden,0.81
Jabari Smith Jr.,0.80
P.J. Washington,0.80
Jonas Valanciunas,0.80
Drew Eubanks,0.79
Nikola Vucevic,0.78
Herbert Jones,0.78
Jalen Duren,0.77
O.G. Anunoby,0.76
Bilal Coulibaly,0.76
Keegan Murray,0.76
Xavier Tillman,0.76
Matisse Thybulle,0.75
Zach Collins,0.75
Jrue Holiday,0.74
Derrick Jones Jr.,0.73
Kelly Oubre Jr.,0.73
Alperen Sengun,0.73
Day'Ron Sharpe,0.72
Kyle Kuzma,0.70
Tyrese Haliburton,0.69
Jaden McDaniels,0.68
Michael Porter Jr.,0.68
Zion Williamson,0.68
Brandon Ingram,0.66
Nicolas Batum,0.66
Aaron Nesmith,0.64
Zeke Nnaji,0.64
CJ McCollum,0.64
Tobias Harris,0.64
Jamal Murray,0.63
Andre Drummond,0.63
James Wiseman,0.62
Jalen Williams,0.62
Amen Thompson,0.61
Aaron Gordon,0.61
Jalen Suggs,0.61
Jayson Tatum,0.60
Domantas Sabonis,0.60
Paolo Banchero,0.59
Grayson Allen,0.58
Andrew Wiggins,0.58
DeMar DeRozan,0.58
LeBron James,0.58
Keon Ellis,0.58
Jalen Smith,0.57
Julian Champagnie,0.57
Brandon Miller,0.57
Karl-Anthony Towns,0.56
Ochai Agbaji,0.56
Duop Reath,0.56
Dorian Finney-Smith,0.56
Trey Murphy III,0.56
Kyle Anderson,0.55
Jaylen Brown,0.55
Luguentz Dort,0.55
Malik Monk,0.54
