Rank,Player,Team,Pos,Value
1,Daniel Gafford,Dallas Mavericks,PF,70.6%
2,Rudy Gobert,Minnesota Timberwolves,C,65.5%
3,Obi Toppin,Indiana Pacers,PF,65.2%
4,Grayson Allen,Phoenix Suns,SG,64.6%
5,Ivica Zubac,Los Angeles Clippers,C,64.3%
6,Jarrett Allen,Cleveland Cavaliers,C,63.6%
7,Nic Claxton,Brooklyn Nets,C,63.0%
8,Moritz Wagner,Orlando Magic,PF,62.7%
9,Giannis Antetokounmpo,Milwaukee Bucks,SF,62.4%
10,Jalen Duren,Detroit Pistons,C,61.9%
11,Domantas Sabonis,Sacramento Kings,PF,60.8%
12,Nikola Jokic,Denver Nuggets,C,60.6%
13,Rui Hachimura,Los Angeles Lakers,PF,60.4%
14,Corey Kispert,Washington Wizards,SF,60.3%
15,Malik Beasley,Milwaukee Bucks,SG,60.1%
16,LeBron James,Los Angeles Lakers,SF,59.4%
17,Evan Mobley,Cleveland Cavaliers,C,59.4%
18,Chet Holmgren,Oklahoma City Thunder,C,59.2%
19,Herbert Jones,New Orleans Pelicans,PF,59.1%
20,Aaron Gordon,Denver Nuggets,PF,59.1%
21,Norman Powell,Los Angeles Clippers,SG,59.0%
22,John Collins,Utah Jazz,PF,59.0%
23,Myles Turner,Indiana Pacers,C,58.9%
24,Brook Lopez,Milwaukee Bucks,C,58.9%
25,Aaron Nesmith,Indiana Pacers,SG,58.7%
26,Kristaps Porzingis,Boston Celtics,PF,58.6%
27,Duncan Robinson,Miami Heat,SF,58.5%
28,Michael Porter Jr.,Denver Nuggets,PF,58.5%
29,Mike Conley,Minnesota Timberwolves,PG,58.4%
30,Jrue Holiday,Boston Celtics,PG,58.3%
31,Kawhi Leonard,Los Angeles Clippers,SF,58.3%
32,Kevin Durant,Phoenix Suns,SF,58.2%
33,Jalen Williams,Oklahoma City Thunder,SG,58.1%
34,Ayo Dosunmu,Chicago Bulls,PG,58.0%
35,Derrick White,Boston Celtics,PG,58.0%
36,Andrew Nembhard,Indiana Pacers,PG,57.8%
37,Lauri Markkanen,Utah Jazz,PF,57.8%
38,Tyrese Haliburton,Indiana Pacers,PG,57.8%
39,Bradley Beal,Phoenix Suns,SG,57.7%
40,O.G. Anunoby,New York Knicks,SF,57.7%
41,Donte DiVincenzo,New York Knicks,SG,57.7%
42,Jonas Valanciunas,New Orleans Pelicans,C,57.6%
43,Payton Pritchard,Boston Celtics,PG,57.6%
44,Harrison Barnes,Sacramento Kings,SF,57.5%
45,Clint Capela,Atlanta Hawks,C,57.5%
46,Zion Williamson,New Orleans Pelicans,PF,57.4%
47,Stephen Curry,Golden State Warriors,PG,57.4%
48,Trey Murphy III,New Orleans Pelicans,SF,57.2%
49,Naz Reid,Minnesota Timberwolves,C,57.2%
50,Anthony Davis,Los Angeles Lakers,PF,57.1%
51,Deandre Ayton,Portland Trail Blazers,C,57.1%
52,Tyus Jones,Washington Wizards,PG,56.9%
53,Pascal Siakam,Indiana Pacers,PF,56.9%
54,Jalen Suggs,Orlando Magic,SG,56.8%
55,Karl-Anthony Towns,Minnesota Timberwolves,C,56.6%
56,Austin Reaves,Los Angeles Lakers,PG,56.6%
57,Jaden McDaniels,Minnesota Timberwolves,SF,56.5%
58,Paul George,Los Angeles Clippers,SF,56.5%
59,Derrick Jones Jr.,Dallas Mavericks,SF,56.3%
60,Kyrie Irving,Dallas Mavericks,PG,56.3%
61,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,56.3%
62,Buddy Hield,Philadelphia 76ers,SG,56.2%
63,Jalen Johnson,Atlanta Hawks,SF,56.2%
64,Khris Middleton,Milwaukee Bucks,SF,56.1%
65,CJ McCollum,New Orleans Pelicans,SG,56.1%
66,Deni Avdija,Washington Wizards,SF,56.0%
67,Jaylen Brown,Boston Celtics,SG,56.0%
68,Luka Doncic,Dallas Mavericks,SF,55.9%
69,Tre Jones,San Antonio Spurs,PG,55.8%
70,Kentavious Caldwell-Pope,Denver Nuggets,SG,55.8%
71,Jonathan Kuminga,Golden State Warriors,PF,55.7%
72,Bobby Portis,Milwaukee Bucks,PF,55.6%
73,D'Angelo Russell,Los Angeles Lakers,PG,55.5%
74,Alperen Sengun,Houston Rockets,C,55.3%
75,Desmond Bane,Memphis Grizzlies,SG,55.2%
76,T.J. McConnell,Indiana Pacers,PG,55.2%
77,Devin Vassell,San Antonio Spurs,SG,55.0%
78,Luguentz Dort,Oklahoma City Thunder,SG,55.0%
79,Devin Booker,Phoenix Suns,SG,55.0%
80,Keegan Murray,Sacramento Kings,SF,55.0%
81,Collin Sexton,Utah Jazz,PG,54.9%
82,Joel Embiid,Philadelphia 76ers,C,54.9%
83,Bojan Bogdanovic,New York Knicks,SF,54.7%
84,RJ Barrett,Toronto Raptors,SF,54.7%
85,Klay Thompson,Golden State Warriors,SG,54.6%
86,Donovan Mitchell,Cleveland Cavaliers,SG,54.5%
87,James Harden,Los Angeles Clippers,SG,54.2%
88,De'Andre Hunter,Atlanta Hawks,PF,53.8%
89,Bogdan Bogdanovic,Atlanta Hawks,SG,53.7%
90,Jayson Tatum,Boston Celtics,SF,53.7%
91,Jabari Smith Jr.,Houston Rockets,PF,53.7%
92,Coby White,Chicago Bulls,SG,53.6%
93,Jalen Brunson,New York Knicks,PG,53.3%
94,Jamal Murray,Denver Nuggets,SG,53.3%
95,Jimmy Butler,Miami Heat,PF,53.3%
96,Max Strus,Cleveland Cavaliers,PG,53.2%
97,De'Aaron Fox,Sacramento Kings,PG,53.2%
98,Gary Trent Jr.,Toronto Raptors,SG,53.1%
99,Tobias Harris,Philadelphia 76ers,SF,53.1%
100,Jaime Jaquez Jr.,Miami Heat,SG,53.0%
