Player,Value
Luka Doncic,32.66
Giannis Antetokounmpo,30.44
Shai Gilgeous-Alexander,30.07
Jalen Brunson,29.26
Devin Booker,27.10
Kevin Durant,27.08
Donovan Mitchell,27.06
Nikola Jokic,26.69
De'Aaron Fox,26.64
Jayson Tatum,26.47
Stephen Curry,26.37
Anthony Edwards,26.21
Tyrese Maxey,26.16
LeBron James,25.74
Anthony Davis,25.01
Damian Lillard,24.68
Kyrie Irving,24.68
DeMar DeRozan,23.96
Kawhi Leonard,23.39
Jaylen Brown,23.19
Zion Williamson,23.11
Paolo Banchero,22.91
Cade Cunningham,22.66
Dejounte Murray,22.57
Jaren Jackson Jr.,22.52
Cam Thomas,22.45
Paul George,22.35
Kyle Kuzma,22.19
Pascal Siakam,21.69
Victor Wembanyama,21.44
Karl-Anthony Towns,21.21
Alperen Sengun,21.13
Jamal Murray,21.08
Miles Bridges,21.00
Jimmy Butler,20.74
Brandon Ingram,20.34
RJ Barrett,20.17
Tyrese Haliburton,19.87
Scottie Barnes,19.85
Terry Rozier,19.75
Franz Wagner,19.66
Jalen Green,19.63
Mikal Bridges,19.59
CJ McCollum,19.57
Devin Vassell,19.46
Domantas Sabonis,19.43
Coby White,19.31
Bam Adebayo,19.27
Kristaps Porzingis,19.23
Jalen Williams,19.04
Collin Sexton,18.69
Nikola Vucevic,18.08
D'Angelo Russell,17.76
Klay Thompson,17.63
Darius Garland,17.62
Fred VanVleet,17.40
Jordan Poole,17.38
Brandon Miller,17.28
Immanuel Quickley,17.00
Myles Turner,16.97
Bogdan Bogdanovic,16.93
James Harden,16.91
Michael Porter Jr.,16.61
Jarrett Allen,16.53
Tobias Harris,16.45
Chet Holmgren,16.45
Jonathan Kuminga,16.05
Austin Reaves,16.04
Khris Middleton,16.00
Donte DiVincenzo,15.85
Evan Mobley,15.76
Keldon Johnson,15.71
De'Andre Hunter,15.50
Derrick White,15.49
Malik Monk,15.42
Jaden Ivey,15.39
Keegan Murray,15.38
Kelly Oubre Jr.,15.19
John Collins,15.10
O.G. Anunoby,14.73
Deni Avdija,14.69
Bojan Bogdanovic,14.62
Bennedict Mathurin,14.60
Trey Murphy III,14.54
Dennis Schroder,14.03
Scoot Henderson,14.00
Bobby Portis,13.97
Aaron Gordon,13.94
Norman Powell,13.82
Jalen Duren,13.79
Jabari Smith Jr.,13.74
Gary Trent Jr.,13.72
Saddiq Bey,13.70
Rudy Gobert,13.65
Caris LeVert,13.46
Cameron Johnson,13.38
Corey Kispert,13.38
Grayson Allen,13.26
Andrew Wiggins,13.21
Naz Reid,13.06
