Player,Value
Domantas Sabonis,10.10
Anthony Davis,9.75
Nikola Jokic,9.57
Giannis Antetokounmpo,8.84
Rudy Gobert,8.84
Luka Doncic,8.48
Jalen Duren,8.48
Victor Wembanyama,8.37
Bam Adebayo,8.03
Jusuf Nurkic,7.91
Nikola Vucevic,7.87
Jayson Tatum,7.54
Jarrett Allen,7.51
Nic Claxton,7.23
Evan Mobley,7.06
Josh Hart,7.02
Karl-Anthony Towns,6.79
Jonas Valanciunas,6.52
LeBron James,6.49
Alperen Sengun,6.44
Ivica Zubac,6.32
Miles Bridges,6.29
Jabari Smith Jr.,6.28
Chet Holmgren,6.27
John Collins,6.15
Clint Capela,6.14
Deni Avdija,6.08
Kevin Durant,6.06
Paolo Banchero,5.95
Scottie Barnes,5.88
Bobby Portis,5.88
Kyle Kuzma,5.74
Michael Porter Jr.,5.73
Andre Drummond,5.56
Nick Richards,5.48
Myles Turner,5.40
Tobias Harris,5.35
Kristaps Porzingis,5.30
Pascal Siakam,5.28
Al Horford,5.11
Anthony Edwards,4.97
Jabari Walker,4.96
Isaiah Hartenstein,4.94
Walker Kessler,4.94
Kawhi Leonard,4.93
Wendell Carter Jr.,4.90
Shai Gilgeous-Alexander,4.87
Paul George,4.86
Kevin Love,4.82
Josh Giddey,4.80
Jalen Green,4.66
Daniel Gafford,4.66
P.J. Washington,4.61
James Harden,4.60
Santi Aldama,4.59
Jeremy Sochan,4.58
Dejounte Murray,4.56
RJ Barrett,4.52
Dereck Lively II,4.50
Jaylen Brown,4.43
Franz Wagner,4.39
Brandon Ingram,4.39
Donovan Mitchell,4.34
Trey Murphy III,4.33
Ausar Thompson,4.33
Khris Middleton,4.26
Jaren Jackson Jr.,4.24
Amen Thompson,4.21
Brandin Podziemski,4.20
Jrue Holiday,4.18
Naz Reid,4.12
Zion Williamson,4.11
Aaron Gordon,4.09
Keldon Johnson,4.09
Keegan Murray,4.08
Coby White,4.00
Max Strus,4.00
Royce O'Neale,3.99
Stephen Curry,3.95
Kelly Olynyk,3.88
Saddiq Bey,3.87
Damian Lillard,3.83
Kyrie Irving,3.81
Cade Cunningham,3.79
DeMar DeRozan,3.77
Precious Achiuwa,3.76
Day'Ron Sharpe,3.74
Kevon Looney,3.73
CJ McCollum,3.72
Mikal Bridges,3.71
Jalen Williams,3.70
De'Aaron Fox,3.70
Devin Booker,3.67
Zach Collins,3.65
Russell Westbrook,3.64
Larry Nance Jr.,3.63
Brook Lopez,3.61
James Wiseman,3.59
Jonathan Kuminga,3.57
Kelly Oubre Jr.,3.56
