Player,Value
Clint Capela,4.58
Rudy Gobert,3.57
Domantas Sabonis,3.55
Isaiah Hartenstein,3.33
Andre Drummond,3.28
Anthony Davis,3.19
Jarrett Allen,3.19
Jalen Duren,3.15
Jusuf Nurkic,2.96
Nikola Jokic,2.92
Alperen Sengun,2.90
Ivica Zubac,2.89
Nikola Vucevic,2.73
Nic Claxton,2.72
Giannis Antetokounmpo,2.68
Saddiq Bey,2.65
Day'Ron Sharpe,2.64
Walker Kessler,2.58
Nick Richards,2.57
Precious Achiuwa,2.57
Dereck Lively II,2.53
Aaron Gordon,2.47
Daniel Gafford,2.47
Jonas Valanciunas,2.42
Amen Thompson,2.39
Scottie Barnes,2.35
John Collins,2.31
Evan Mobley,2.27
Paul Reed,2.27
Victor Wembanyama,2.27
Bam Adebayo,2.23
Jabari Walker,2.10
Ausar Thompson,2.05
Toumani Camara,1.99
Trayce Jackson-Davis,1.96
Wendell Carter Jr.,1.95
Kevon Looney,1.92
Pascal Siakam,1.87
Jeremy Sochan,1.85
Jabari Smith Jr.,1.83
Luke Kornet,1.80
Bobby Portis,1.80
Zion Williamson,1.76
Josh Hart,1.76
Jimmy Butler,1.75
Jalen Smith,1.75
James Wiseman,1.75
Goga Bitadze,1.72
Zach Collins,1.71
Larry Nance Jr.,1.69
Karl-Anthony Towns,1.65
Dorian Finney-Smith,1.60
Brandin Podziemski,1.60
Kristaps Porzingis,1.58
Chet Holmgren,1.55
Isaiah Jackson,1.55
Andrew Wiggins,1.51
Brook Lopez,1.51
Myles Turner,1.47
Moritz Wagner,1.47
Keegan Murray,1.44
Kelly Oubre Jr.,1.41
Tristan Thompson,1.41
Daniel Theis,1.39
Al Horford,1.39
Kelly Olynyk,1.38
Keldon Johnson,1.38
Jrue Holiday,1.38
Kris Murray,1.37
Duop Reath,1.37
Russell Westbrook,1.34
Drew Eubanks,1.32
Dwight Powell,1.32
Josh Giddey,1.31
Jaren Jackson Jr.,1.29
Terance Mann,1.28
Jonathan Isaac,1.28
Jonathan Kuminga,1.25
Kawhi Leonard,1.24
P.J. Washington,1.24
Michael Porter Jr.,1.23
Tobias Harris,1.22
Nicolas Batum,1.21
Xavier Tillman,1.19
Jaylen Brown,1.19
Santi Aldama,1.18
Derrick Jones Jr.,1.17
Josh Okogie,1.16
Caleb Martin,1.15
Dario Saric,1.14
Grant Williams,1.13
Deni Avdija,1.12
Jaden Ivey,1.12
Paolo Banchero,1.10
Jaime Jaquez Jr.,1.07
Trey Lyles,1.07
Luguentz Dort,1.04
Franz Wagner,1.04
Zeke Nnaji,1.03
Miles Bridges,1.03
