Rank,Player,Team,Pos,Value
1,De'Aaron Fox,Sacramento Kings,PG,2.04
2,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,1.92
3,Donovan Mitchell,Cleveland Cavaliers,SG,1.75
4,Matisse Thybulle,Portland Trail Blazers,SG,1.74
5,Alex Caruso,Chicago Bulls,SG,1.66
6,Kawhi Leonard,Los Angeles Clippers,SF,1.64
7,Luka Doncic,Dallas Mavericks,SF,1.52
8,Paul George,Los Angeles Clippers,SF,1.50
9,Dejounte Murray,Atlanta Hawks,PG,1.43
10,Jalen Suggs,Orlando Magic,SG,1.40
11,Fred VanVleet,Houston Rockets,PG,1.38
12,Herbert Jones,New Orleans Pelicans,PF,1.38
13,Jimmy Butler,Miami Heat,PF,1.38
14,Nikola Jokic,Denver Nuggets,C,1.37
15,LeBron James,Los Angeles Lakers,SF,1.36
16,Dyson Daniels,New Orleans Pelicans,SG,1.32
17,Anthony Edwards,Minnesota Timberwolves,SG,1.32
18,Donte DiVincenzo,New York Knicks,SG,1.31
19,Kentavious Caldwell-Pope,Denver Nuggets,SG,1.31
20,O.G. Anunoby,New York Knicks,SF,1.29
21,Darius Garland,Cleveland Cavaliers,PG,1.26
22,Amen Thompson,Houston Rockets,SG,1.26
23,Scottie Barnes,Toronto Raptors,SF,1.25
24,Victor Wembanyama,San Antonio Spurs,PF,1.24
25,Bogdan Bogdanovic,Atlanta Hawks,SG,1.23
26,Kyrie Irving,Dallas Mavericks,PG,1.21
27,Jaren Jackson Jr.,Memphis Grizzlies,PF,1.21
28,Tyrese Haliburton,Indiana Pacers,PG,1.21
29,Alperen Sengun,Houston Rockets,C,1.21
30,Mike Conley,Minnesota Timberwolves,PG,1.20
31,Jalen Williams,Oklahoma City Thunder,SG,1.20
32,Giannis Antetokounmpo,Milwaukee Bucks,SF,1.19
33,Jaylen Brown,Boston Celtics,SG,1.19
34,Kelly Oubre Jr.,Philadelphia 76ers,SF,1.19
35,Chris Paul,Golden State Warriors,PG,1.19
36,DeMar DeRozan,Chicago Bulls,SG,1.14
37,Anthony Davis,Los Angeles Lakers,PF,1.13
38,Jordan Poole,Washington Wizards,SG,1.10
39,Zion Williamson,New Orleans Pelicans,PF,1.10
40,Russell Westbrook,Los Angeles Clippers,PG,1.09
41,Jusuf Nurkic,Phoenix Suns,C,1.09
42,Gary Trent Jr.,Toronto Raptors,SG,1.08
43,Ausar Thompson,Detroit Pistons,SG,1.08
44,Caris LeVert,Cleveland Cavaliers,SG,1.08
45,Tyus Jones,Washington Wizards,PG,1.08
46,Devin Vassell,San Antonio Spurs,SG,1.07
47,Jose Alvarado,New Orleans Pelicans,PG,1.06
48,Bam Adebayo,Miami Heat,C,1.06
48,James Harden,Los Angeles Clippers,SG,1.06
50,Keegan Murray,Sacramento Kings,SF,1.04
51,Isaiah Hartenstein,New York Knicks,C,1.03
52,Terry Rozier,Miami Heat,PG,1.03
53,Kris Dunn,Utah Jazz,PG,1.03
54,Franz Wagner,Orlando Magic,SF,1.03
55,Jayson Tatum,Boston Celtics,SF,1.02
56,Tre Jones,San Antonio Spurs,PG,1.01
57,T.J. McConnell,Indiana Pacers,PG,1.01
58,Kyle Lowry,Philadelphia 76ers,PG,1.00
58,Derrick White,Boston Celtics,PG,1.00
58,Jaime Jaquez Jr.,Miami Heat,SG,1.00
61,Mikal Bridges,Brooklyn Nets,SG,0.99
62,Damian Lillard,Milwaukee Bucks,PG,0.99
63,Eric Gordon,Phoenix Suns,SG,0.99
64,CJ McCollum,New Orleans Pelicans,SG,0.97
65,Larry Nance Jr.,New Orleans Pelicans,SF,0.97
66,Tyrese Maxey,Philadelphia 76ers,PG,0.96
67,Kelly Olynyk,Toronto Raptors,PF,0.95
68,Devin Booker,Phoenix Suns,SG,0.94
69,Luguentz Dort,Oklahoma City Thunder,SG,0.94
70,Jamal Murray,Denver Nuggets,SG,0.94
71,Toumani Camara,Portland Trail Blazers,PF,0.94
72,Miles Bridges,Charlotte Hornets,SF,0.94
73,Domantas Sabonis,Sacramento Kings,PF,0.94
74,Josh Hart,New York Knicks,SG,0.94
75,Gary Harris,Orlando Magic,SG,0.93
76,Jrue Holiday,Boston Celtics,PG,0.93
77,P.J. Washington,Dallas Mavericks,PF,0.93
78,Andre Drummond,Chicago Bulls,C,0.93
79,Cason Wallace,Oklahoma City Thunder,PG,0.92
80,Tobias Harris,Philadelphia 76ers,SF,0.92
81,Trey Murphy III,New Orleans Pelicans,SF,0.92
82,Keon Ellis,Sacramento Kings,SG,0.92
83,Ayo Dosunmu,Chicago Bulls,PG,0.91
84,Grayson Allen,Phoenix Suns,SG,0.91
85,Paolo Banchero,Orlando Magic,PF,0.91
86,Bilal Coulibaly,Washington Wizards,SG,0.90
87,D'Angelo Russell,Los Angeles Lakers,PG,0.90
88,Cade Cunningham,Detroit Pistons,PG,0.90
89,Kevin Durant,Phoenix Suns,SF,0.90
90,Bruce Brown,Toronto Raptors,PG,0.90
91,Brandon Miller,Charlotte Hornets,SF,0.89
92,Max Strus,Cleveland Cavaliers,PG,0.89
93,Jalen Brunson,New York Knicks,PG,0.89
93,Dillon Brooks,Houston Rockets,SG,0.89
95,Evan Mobley,Cleveland Cavaliers,C,0.89
96,Khris Middleton,Milwaukee Bucks,SF,0.89
97,Jaden McDaniels,Minnesota Timberwolves,SF,0.88
98,Xavier Tillman,Boston Celtics,PF,0.87
99,Kyle Anderson,Minnesota Timberwolves,SF,0.86
100,Aaron Nesmith,Indiana Pacers,SG,0.86
