,Player,BLK,DRB,STL,D_PER
4,Alperen Sengun,0.73,6.44,1.21,2.8
5,Amen Thompson,0.61,4.21,1.26,2.0
6,Andre Drummond,0.63,5.56,0.93,2.4
8,Anthony Davis,2.33,9.75,1.13,4.4
10,Ausar Thompson,0.94,4.33,1.08,2.1
12,Bam Adebayo,0.9,8.03,1.06,3.3
21,CJ McCollum,0.64,3.72,0.97,1.8
36,DeMar DeRozan,0.58,3.77,1.14,1.8
45,Domantas Sabonis,0.6,10.1,0.94,3.9
53,Evan Mobley,1.58,7.06,0.89,3.2
58,Giannis Antetokounmpo,1.08,8.84,1.19,3.7
62,Isaiah Hartenstein,1.1,4.94,1.03,2.4
74,Jalen Williams,0.62,3.7,1.2,1.8
76,James Harden,0.81,4.6,1.06,2.2
78,Jaren Jackson Jr.,1.61,4.24,1.21,2.4
80,Jaylen Brown,0.55,4.43,1.19,2.1
81,Jayson Tatum,0.6,7.54,1.02,3.1
92,Jrue Holiday,0.74,4.18,0.93,2.0
94,Jusuf Nurkic,1.08,7.91,1.09,3.4
96,Kawhi Leonard,0.86,4.93,1.64,2.5
97,Keegan Murray,0.76,4.08,1.04,2.0
100,Kelly Oubre Jr.,0.73,3.56,1.19,1.8
103,Kevin Durant,1.23,6.06,0.9,2.7
114,LeBron James,0.58,6.49,1.36,2.8
130,Nikola Jokic,0.84,9.57,1.37,3.9
134,P.J. Washington,0.8,4.61,0.93,2.1
135,Paolo Banchero,0.59,5.95,0.91,2.5
147,Scottie Barnes,1.47,5.88,1.25,2.9
148,Shai Gilgeous-Alexander,0.99,4.87,1.92,2.6
152,Tobias Harris,0.64,5.35,0.92,2.3
156,Trey Murphy III,0.56,4.33,0.92,1.9
160,Victor Wembanyama,3.58,8.37,1.24,4.4
166,Zion Williamson,0.68,4.11,1.1,2.0
