,Player,2023/24
0,Stephen Curry,"$51,915,615"
1,Kevin Durant,"$47,649,433"
2,Nikola Jokic,"$47,607,350"
3,LeBron James,"$47,607,350"
4,Joel Embiid,"$47,607,350"
5,Bradley Beal,"$46,741,590"
6,Paul George,"$45,640,084"
7,Kawhi Leonard,"$45,640,084"
8,Giannis Antetokounmpo,"$45,640,084"
9,Damian Lillard,"$45,640,084"
10,Jimmy Butler,"$45,183,960"
11,Klay Thompson,"$43,219,440"
12,Rudy Gobert,"$41,000,000"
13,Fred VanVleet,"$40,806,300"
14,Anthony Davis,"$40,600,080"
15,Trae Young,"$40,064,220"
16,Zach LaVine,"$40,064,220"
17,Luka Doncic,"$40,064,220"
18,Tobias Harris,"$39,270,150"
19,Kyrie Irving,"$38,037,037"
20,Ben Simmons,"$37,893,408"
21,Pascal Siakam,"$37,893,408"
22,Jrue Holiday,"$37,620,347"
23,Kristaps Porzingis,"$36,016,200"
24,Karl-Anthony Towns,"$36,016,200"
25,Devin Booker,"$36,016,200"
26,CJ McCollum,"$35,802,469"
27,James Harden,"$35,680,595"
28,Darius Garland,"$34,005,250"
29,Ja Morant,"$34,005,250"
30,Zion Williamson,"$34,005,250"
31,Jamal Murray,"$33,833,400"
32,Brandon Ingram,"$33,833,400"
33,Michael Porter,"$33,386,850"
34,Shai Gilgeous-Alexander,"$33,386,850"
35,Gordon Hayward,"$33,319,397"
36,Donovan Mitchell,"$33,162,030"
37,Jayson Tatum,"$32,600,060"
38,Bam Adebayo,"$32,600,060"
39,De'Aaron Fox,"$32,600,060"
40,Deandre Ayton,"$32,459,438"
41,Jaylen Brown,"$31,830,357"
42,Chris Paul,"$30,800,000"
43,Kyle Lowry,"$29,682,540"
44,Khris Middleton,"$29,320,988"
45,Domantas Sabonis,"$29,300,000"
46,DeMar DeRozan,"$28,600,000"
47,Jordan Poole,"$27,955,357"
48,Jerami Grant,"$27,586,207"
49,Jaren Jackson Jr,"$27,102,202"
50,Tyler Herro,"$27,000,000"
51,Julius Randle,"$26,943,840"
52,Jalen Brunson,"$26,346,666"
53,Cameron Johnson,"$25,679,348"
54,Kyle Kuzma,"$25,568,182"
55,John Collins,"$25,340,000"
56,Brook Lopez,"$25,000,000"
57,Mike Conley,"$24,360,000"
58,Andrew Wiggins,"$24,330,357"
59,Anfernee Simons,"$24,107,143"
60,RJ Barrett,"$23,883,929"
61,Jordan Clarkson,"$23,487,629"
62,Terry Rozier,"$23,205,221"
63,Dillon Brooks,"$22,627,671"
64,Malcolm Brogdon,"$22,500,000"
65,Draymond Green,"$22,321,429"
66,Bruce Brown,"$22,000,000"
67,Mikal Bridges,"$21,700,000"
68,Aaron Gordon,"$21,266,182"
69,Myles Turner,"$20,975,000"
70,Clint Capela,"$20,616,000"
71,Lonzo Ball,"$20,465,117"
72,Spencer Dinwiddie,"$20,411,797"
73,De'Andre Hunter,"$20,089,286"
74,Jarrett Allen,"$20,000,000"
75,Bojan Bogdanovic,"$20,000,000"
76,Keldon Johnson,"$20,000,000"
77,Joe Harris,"$19,928,571"
78,Jakob Poeltl,"$19,500,000"
79,Buddy Hield,"$19,321,859"
80,Derrick White,"$18,857,143"
81,Evan Fournier,"$18,857,143"
82,Bogdan Bogdanovic,"$18,700,000"
83,OG Anunoby,"$18,642,857"
84,Marcus Smart,"$18,583,713"
85,Gary Trent Jr,"$18,560,000"
86,Nikola Vucevic,"$18,518,519"
87,Dejounte Murray,"$18,214,000"
88,Duncan Robinson,"$18,154,000"
89,Norman Powell,"$18,000,000"
90,Tim Hardaway Jr,"$17,897,728"
91,Marcus Morris,"$17,612,280"
92,Collin Sexton,"$17,525,000"
93,Jonathan Isaac,"$17,400,000"
94,D'Angelo Russell,"$17,307,693"
95,Lauri Markkanen,"$17,259,999"
96,Davis Bertans,"$17,000,000"
97,Markelle Fultz,"$17,000,000"
98,Harrison Barnes,"$17,000,000"
99,Jusuf Nurkic,"$16,875,000"
100,PJ Washington,"$16,847,826"
101,Kevin Porter,"$15,860,000"
102,Rui Hachimura,"$15,740,741"
103,Mitchell Robinson,"$15,681,818"
104,Kevin Huerter,"$15,669,643"
105,Jonas Valanciunas,"$15,435,000"
106,Caris LeVert,"$15,384,616"
107,Luguentz Dort,"$15,277,778"
108,Luke Kennard,"$14,763,636"
109,Kentavious Caldwell-Pope,"$14,704,938"
110,Max Strus,"$14,487,684"
111,Reggie Bullock,"$14,210,528"
112,Doug McDermott,"$14,000,000"
113,Tyus Jones,"$14,000,000"
114,Dorian Finney-Smith,"$13,932,008"
115,Anthony Edwards,"$13,534,817"
116,Wendell Carter,"$13,050,000"
117,Gary Harris,"$13,000,000"
118,Josh Hart,"$12,960,000"
119,Naz Reid,"$12,950,400"
120,Steven Adams,"$12,600,000"
121,Brandon Clarke,"$12,500,000"
122,Marvin Bagley,"$12,500,000"
123,Dennis Schroeder,"$12,405,000"
124,Grant Williams,"$12,405,000"
125,Daniel Gafford,"$12,402,000"
126,Kelly Olynyk,"$12,195,122"
127,Victor Wembanyama,"$12,160,632"
128,James Wiseman,"$12,119,440"
129,Devonte Graham,"$12,100,000"
130,Richaun Holmes,"$12,046,020"
131,Austin Reaves,"$12,015,150"
132,Herb Jones,"$12,015,150"
133,Chris Boucher,"$11,750,000"
134,Bobby Portis,"$11,710,818"
135,Nicolas Batum,"$11,710,818"
136,Robert Covington,"$11,692,308"
137,Paolo Banchero,"$11,608,080"
138,Robert Williams,"$11,571,429"
139,Coby White,"$11,111,111"
140,Cade Cunningham,"$11,055,360"
141,Talen Horton-Tucker,"$11,020,000"
142,PJ Tucker,"$11,014,500"
143,Maxi Kleber,"$11,000,000"
144,Joe Ingles,"$11,000,000"
145,Ivica Zubac,"$10,933,333"
146,LaMelo Ball,"$10,900,635"
147,Donte DiVincenzo,"$10,900,000"
148,Brandon Miller,"$10,880,364"
149,Terance Mann,"$10,576,923"
150,Gabe Vincent,"$10,500,000"
151,Matisse Thybulle,"$10,500,000"
152,Alec Burks,"$10,489,600"
153,Chet Holmgren,"$10,386,000"
154,Larry Nance Jr,"$10,375,000"
155,Landry Shamet,"$10,250,000"
156,Al Horford,"$10,000,000"
157,Malik Monk,"$9,945,830"
158,Tre Jones,"$9,895,833"
159,Jalen Green,"$9,891,480"
160,Patrick Williams,"$9,835,881"
161,Monte Morris,"$9,800,926"
162,Scoot Henderson,"$9,770,904"
163,Nicolas Claxton,"$9,625,000"
164,Royce O'Neale,"$9,500,000"
165,Alex Caruso,"$9,460,000"
166,Victor Oladipo,"$9,450,000"
167,Pat Connaughton,"$9,423,869"
168,Cameron Payne,"$9,391,467"
