,Player,BLK,DRB,STL
0,Victor Wembanyama,3.58,8.37,1.24
1,Anthony Davis,2.33,9.75,1.13
2,Jaren Jackson Jr.,1.61,4.24,1.21
3,Evan Mobley,1.58,7.06,0.89
4,Scottie Barnes,1.47,5.88,1.25
5,Kevin Durant,1.23,6.06,0.9
6,Isaiah Hartenstein,1.1,4.94,1.03
7,Giannis Antetokounmpo,1.08,8.84,1.19
8,Jusuf Nurkic,1.08,7.91,1.09
9,Shai Gilgeous-Alexander,0.99,4.87,1.92
10,Ausar Thompson,0.94,4.33,1.08
11,Bam Adebayo,0.9,8.03,1.06
12,Kawhi Leonard,0.86,4.93,1.64
13,Nikola Jokic,0.84,9.57,1.37
14,James Harden,0.81,4.6,1.06
15,P.J. Washington,0.8,4.61,0.93
16,Keegan Murray,0.76,4.08,1.04
17,Jrue Holiday,0.74,4.18,0.93
18,Kelly Oubre Jr.,0.73,3.56,1.19
19,Alperen Sengun,0.73,6.44,1.21
20,Zion Williamson,0.68,4.11,1.1
21,CJ McCollum,0.64,3.72,0.97
22,Tobias Harris,0.64,5.35,0.92
23,Andre Drummond,0.63,5.56,0.93
24,Jalen Williams,0.62,3.7,1.2
25,Amen Thompson,0.61,4.21,1.26
26,Jayson Tatum,0.6,7.54,1.02
27,Domantas Sabonis,0.6,10.1,0.94
28,Paolo Banchero,0.59,5.95,0.91
29,DeMar DeRozan,0.58,3.77,1.14
30,LeBron James,0.58,6.49,1.36
31,Trey Murphy III,0.56,4.33,0.92
32,Jaylen Brown,0.55,4.43,1.19
