Player,DRB,BLK,STL,D_PER
Anthony Davis,9.75,2.33,1.13,4.4
Victor Wembanyama,8.37,3.58,1.24,4.4
Domantas Sabonis,10.1,0.6,0.94,3.9
Nikola Jokic,9.57,0.84,1.37,3.9
Giannis Antetokounmpo,8.84,1.08,1.19,3.7
Rudy Gobert,8.84,1.95,,3.6
Jusuf Nurkic,7.91,1.08,1.09,3.4
Bam Adebayo,8.03,0.9,1.06,3.3
Luka Doncic,8.48,,1.52,3.3
Evan Mobley,7.06,1.58,0.89,3.2
Jayson Tatum,7.54,0.6,1.02,3.1
Jalen Duren,8.48,0.77,,3.1
Nic Claxton,7.23,2.06,,3.1
Scottie Barnes,5.88,1.47,1.25,2.9
Jarrett Allen,7.51,1.05,,2.9
Nikola Vucevic,7.87,0.78,,2.9
Chet Holmgren,6.27,2.34,,2.9
Alperen Sengun,6.44,0.73,1.21,2.8
LeBron James,6.49,0.58,1.36,2.8
Josh Hart,7.02,,0.94,2.7
Kevin Durant,6.06,1.23,0.9,2.7
Shai Gilgeous-Alexander,4.87,0.99,1.92,2.6
Ivica Zubac,6.32,1.16,,2.5
Kawhi Leonard,4.93,0.86,1.64,2.5
Clint Capela,6.14,1.43,,2.5
Paolo Banchero,5.95,0.59,0.91,2.5
Isaiah Hartenstein,4.94,1.1,1.03,2.4
Miles Bridges,6.29,,0.94,2.4
Karl-Anthony Towns,6.79,0.56,,2.4
Myles Turner,5.4,1.78,,2.4
Jonas Valanciunas,6.52,0.8,,2.4
Jaren Jackson Jr.,4.24,1.61,1.21,2.4
Kristaps Porzingis,5.3,1.91,,2.4
Walker Kessler,4.94,2.41,,2.4
Jabari Smith Jr.,6.28,0.8,,2.4
Andre Drummond,5.56,0.63,0.93,2.4
John Collins,6.15,0.9,,2.4
Tobias Harris,5.35,0.64,0.92,2.3
Daniel Gafford,4.66,1.94,,2.2
James Harden,4.6,0.81,1.06,2.2
Nick Richards,5.48,1.1,,2.2
Paul George,4.86,,1.5,2.1
Jaylen Brown,4.43,0.55,1.19,2.1
Michael Porter Jr.,5.73,0.68,,2.1
P.J. Washington,4.61,0.8,0.93,2.1
Kyle Kuzma,5.74,0.7,,2.1
Anthony Edwards,4.97,,1.32,2.1
Ausar Thompson,4.33,0.94,1.08,2.1
Keegan Murray,4.08,0.76,1.04,2.0
Donovan Mitchell,4.34,,1.75,2.0
