Rank,Player,Team,Pos,Value
1,Nikola Jokic,Denver Nuggets,C,20.170
2,Anthony Davis,Los Angeles Lakers,PF,18.187
3,Domantas Sabonis,Sacramento Kings,PF,18.000
4,Giannis Antetokounmpo,Milwaukee Bucks,SF,17.980
5,Luka Doncic,Dallas Mavericks,SF,15.696
6,Rudy Gobert,Minnesota Timberwolves,C,14.819
7,Jarrett Allen,Cleveland Cavaliers,C,14.611
8,LeBron James,Los Angeles Lakers,SF,13.878
9,Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,13.471
10,Jalen Duren,Detroit Pistons,C,13.123
11,Victor Wembanyama,San Antonio Spurs,PF,13.000
12,Bam Adebayo,Miami Heat,C,12.494
13,Jayson Tatum,Boston Celtics,SF,12.462
14,Nic Claxton,Brooklyn Nets,C,12.380
15,Evan Mobley,Cleveland Cavaliers,C,12.202
16,Clint Capela,Atlanta Hawks,C,12.189
17,Kawhi Leonard,Los Angeles Clippers,SF,11.921
18,Alperen Sengun,Houston Rockets,C,11.897
19,Nikola Vucevic,Chicago Bulls,C,11.744
20,Kevin Durant,Phoenix Suns,SF,11.633
21,Scottie Barnes,Toronto Raptors,SF,11.567
22,Tyrese Haliburton,Indiana Pacers,PG,11.394
23,Jusuf Nurkic,Phoenix Suns,C,11.394
24,Chet Holmgren,Oklahoma City Thunder,C,11.125
25,Ivica Zubac,Los Angeles Clippers,C,11.122
26,Kristaps Porzingis,Boston Celtics,PF,10.734
27,Jimmy Butler,Miami Heat,PF,10.631
28,Pascal Siakam,Indiana Pacers,PF,10.526
29,Karl-Anthony Towns,Minnesota Timberwolves,C,10.365
30,Isaiah Hartenstein,New York Knicks,C,10.324
31,Jonas Valanciunas,New Orleans Pelicans,C,10.171
32,Daniel Gafford,Dallas Mavericks,PF,10.162
33,James Harden,Los Angeles Clippers,SG,10.160
34,Donovan Mitchell,Cleveland Cavaliers,SG,10.039
35,John Collins,Utah Jazz,PF,9.985
36,Nick Richards,Charlotte Hornets,C,9.769
37,Zion Williamson,New Orleans Pelicans,PF,9.704
38,Josh Hart,New York Knicks,SG,9.638
39,Walker Kessler,Utah Jazz,C,9.492
40,Devin Booker,Phoenix Suns,SG,9.479
41,Aaron Gordon,Denver Nuggets,PF,9.418
42,Kyrie Irving,Dallas Mavericks,PG,9.388
43,Al Horford,Boston Celtics,C,9.286
44,Andre Drummond,Chicago Bulls,C,9.272
45,Miles Bridges,Charlotte Hornets,SF,9.254
46,Paul George,Los Angeles Clippers,SF,9.181
47,Michael Porter Jr.,Denver Nuggets,PF,9.177
48,Myles Turner,Indiana Pacers,C,9.163
49,Anthony Edwards,Minnesota Timberwolves,SG,9.147
50,Tobias Harris,Philadelphia 76ers,SF,9.091
51,Dereck Lively II,Dallas Mavericks,C,9.079
52,Jabari Smith Jr.,Houston Rockets,PF,9.059
53,Stephen Curry,Golden State Warriors,PG,8.987
54,Deni Avdija,Washington Wizards,SF,8.947
55,Dejounte Murray,Atlanta Hawks,PG,8.804
56,Damian Lillard,Milwaukee Bucks,PG,8.766
57,Bobby Portis,Milwaukee Bucks,PF,8.739
58,Jrue Holiday,Boston Celtics,PG,8.699
59,DeMar DeRozan,Chicago Bulls,SG,8.691
60,Derrick White,Boston Celtics,PG,8.576
61,Fred VanVleet,Houston Rockets,PG,8.534
62,Jalen Williams,Oklahoma City Thunder,SG,8.457
63,De'Aaron Fox,Sacramento Kings,PG,8.434
64,Tyrese Maxey,Philadelphia 76ers,PG,8.344
65,Trey Murphy III,New Orleans Pelicans,SF,8.325
66,Jalen Brunson,New York Knicks,PG,8.300
67,Paolo Banchero,Orlando Magic,PF,8.259
68,Wendell Carter Jr.,Orlando Magic,C,8.081
69,Jaylen Brown,Boston Celtics,SG,8.073
70,Amen Thompson,Houston Rockets,SG,7.992
71,Tyus Jones,Washington Wizards,PG,7.811
72,Austin Reaves,Los Angeles Lakers,PG,7.725
73,Franz Wagner,Orlando Magic,SF,7.722
74,CJ McCollum,New Orleans Pelicans,SG,7.674
75,Grayson Allen,Phoenix Suns,SG,7.662
76,Jamal Murray,Denver Nuggets,SG,7.662
77,Brook Lopez,Milwaukee Bucks,C,7.624
78,Saddiq Bey,Atlanta Hawks,PG,7.619
79,Josh Giddey,Oklahoma City Thunder,SG,7.517
80,Kyle Kuzma,Washington Wizards,PF,7.486
81,Kelly Olynyk,Toronto Raptors,PF,7.455
82,Khris Middleton,Milwaukee Bucks,SF,7.443
83,Devin Vassell,San Antonio Spurs,SG,7.434
84,Keegan Murray,Sacramento Kings,SF,7.411
85,Brandon Ingram,New Orleans Pelicans,SF,7.407
86,Tre Jones,San Antonio Spurs,PG,7.279
87,Terry Rozier,Miami Heat,PG,7.262
88,Brandin Podziemski,Golden State Warriors,SG,7.173
89,Trayce Jackson-Davis,Golden State Warriors,PF,7.080
90,Mike Conley,Minnesota Timberwolves,PG,7.049
91,RJ Barrett,Toronto Raptors,SF,7.026
92,Larry Nance Jr.,New Orleans Pelicans,SF,7.000
93,Coby White,Chicago Bulls,SG,6.895
94,Santi Aldama,Memphis Grizzlies,PF,6.885
95,Chris Paul,Golden State Warriors,PG,6.856
96,Keldon Johnson,San Antonio Spurs,SF,6.848
97,Kevin Love,Miami Heat,PF,6.839
98,Jalen Smith,Indiana Pacers,PF,6.809
99,Jabari Walker,Portland Trail Blazers,PF,6.771
100,Alex Caruso,Chicago Bulls,SG,6.747
