Player,G,PTS,AST,PER
"A'ja Wilson
                          

                            A Wilson
                          

                        
                          
                              $227,303
                          
                        
                    
                      
                        
                          
                            RFA
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          34.4
                        

                        
                          26.9
                        

                        
                          10.1
                        

                        
                          19.6
                        

                        
                          51.8%
                        

                        
                          9.6
                        

                        
                          18.0
                        

                        
                          53.6%
                        

                        
                          0.5
                        

                        
                          1.6
                        

                        
                          31.7%
                        

                        
                          6.1
                        

                        
                          7.2
                        

                        
                          84.4%
                        

                        
                          2.1
                        

                        
                          9.8
                        

                        
                          11.9
                        

                        
                          2.3
                        

                        
                          1.3
                        

                        
                          1.8
                        

                        
                          2.6
                        

                        
                          1.8",38,26.9,2.3,22.400000000000002
"Arike Ogunbowale
                          

                            A Ogunbowale
                          

                        
                          
                              $241,984
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          38.6
                        

                        
                          22.2
                        

                        
                          7.3
                        

                        
                          19.2
                        

                        
                          38.3%
                        

                        
                          4.4
                        

                        
                          10.7
                        

                        
                          41.2%
                        

                        
                          2.9
                        

                        
                          8.5
                        

                        
                          34.6%
                        

                        
                          4.6
                        

                        
                          5.0
                        

                        
                          92.1%
                        

                        
                          0.8
                        

                        
                          3.8
                        

                        
                          4.6
                        

                        
                          5.1
                        

                        
                          2.7
                        

                        
                          2.1
                        

                        
                          0.3
                        

                        
                          2.8",38,22.2,5.1,21.766666666666666
"Kahleah Copper
                          

                            K Copper
                          

                        
                          
                              $241,984
                          
                        
                    
                      
                        
                          
                            Core
                          
                        
                    

                    

                    
                      
                        
                          37
                        

                        
                          37
                        

                        
                          32.3
                        

                        
                          21.1
                        

                        
                          7.4
                        

                        
                          17.0
                        

                        
                          43.5%
                        

                        
                          5.5
                        

                        
                          11.0
                        

                        
                          50.0%
                        

                        
                          1.9
                        

                        
                          5.9
                        

                        
                          31.4%
                        

                        
                          4.5
                        

                        
                          5.6
                        

                        
                          80.7%
                        

                        
                          0.6
                        

                        
                          3.9
                        

                        
                          4.5
                        

                        
                          2.3
                        

                        
                          3.0
                        

                        
                          0.8
                        

                        
                          0.1
                        

                        
                          3.3",37,21.1,2.3,20.133333333333333
"Breanna Stewart
                          

                            B Stewart
                          

                        
                          
                              $205,000
                          
                        
                    
                      
                        
                          
                            Core
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          32.7
                        

                        
                          20.4
                        

                        
                          7.0
                        

                        
                          15.2
                        

                        
                          45.8%
                        

                        
                          5.8
                        

                        
                          11.1
                        

                        
                          51.9%
                        

                        
                          1.2
                        

                        
                          4.1
                        

                        
                          29.5%
                        

                        
                          5.3
                        

                        
                          6.3
                        

                        
                          84.5%
                        

                        
                          1.6
                        

                        
                          6.9
                        

                        
                          8.5
                        

                        
                          3.5
                        

                        
                          1.7
                        

                        
                          1.7
                        

                        
                          1.3
                        

                        
                          2.1",38,20.4,3.5,20.633333333333333
"Napheesa Collier
                          

                            N Collier
                          

                        
                          
                              $215,469
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          34
                        

                        
                          34
                        

                        
                          34.7
                        

                        
                          20.4
                        

                        
                          7.9
                        

                        
                          16.0
                        

                        
                          49.2%
                        

                        
                          7.0
                        

                        
                          13.1
                        

                        
                          53.3%
                        

                        
                          0.9
                        

                        
                          2.9
                        

                        
                          31.0%
                        

                        
                          3.7
                        

                        
                          4.6
                        

                        
                          80.4%
                        

                        
                          2.2
                        

                        
                          7.5
                        

                        
                          9.7
                        

                        
                          3.4
                        

                        
                          2.1
                        

                        
                          1.9
                        

                        
                          1.4
                        

                        
                          2.6",34,20.4,3.4,19.266666666666666
"Jewell Loyd
                          

                            J Loyd
                          

                        
                          
                              $241,984
                          
                        
                    
                      
                        
                          
                            Core
                          
                        
                    

                    

                    
                      
                        
                          37
                        

                        
                          37
                        

                        
                          33.7
                        

                        
                          19.7
                        

                        
                          6.1
                        

                        
                          16.8
                        

                        
                          36.0%
                        

                        
                          4.5
                        

                        
                          11.0
                        

                        
                          40.5%
                        

                        
                          1.6
                        

                        
                          5.8
                        

                        
                          27.4%
                        

                        
                          6.0
                        

                        
                          6.8
                        

                        
                          88.1%
                        

                        
                          0.7
                        

                        
                          3.8
                        

                        
                          4.5
                        

                        
                          3.6
                        

                        
                          2.3
                        

                        
                          1.4
                        

                        
                          0.2
                        

                        
                          1.8",37,19.7,3.6,20.1
"Caitlin Clark
                          

                            C Clark
                          

                        
                          
                              $76,535
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          35.4
                        

                        
                          19.2
                        

                        
                          6.1
                        

                        
                          14.5
                        

                        
                          41.7%
                        

                        
                          3.0
                        

                        
                          5.6
                        

                        
                          53.3%
                        

                        
                          3.1
                        

                        
                          8.9
                        

                        
                          34.4%
                        

                        
                          4.1
                        

                        
                          4.5
                        

                        
                          90.6%
                        

                        
                          0.4
                        

                        
                          5.3
                        

                        
                          5.7
                        

                        
                          8.4
                        

                        
                          5.6
                        

                        
                          1.3
                        

                        
                          0.7
                        

                        
                          2.8",40,19.2,8.4,22.533333333333335
"Kelsey Mitchell
                          

                            K Mitchell
                          

                        
                          
                              $212,000
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          38
                        

                        
                          32.0
                        

                        
                          19.2
                        

                        
                          7.1
                        

                        
                          15.1
                        

                        
                          46.8%
                        

                        
                          4.3
                        

                        
                          8.3
                        

                        
                          52.3%
                        

                        
                          2.7
                        

                        
                          6.8
                        

                        
                          40.2%
                        

                        
                          2.4
                        

                        
                          2.8
                        

                        
                          83.2%
                        

                        
                          0.7
                        

                        
                          1.8
                        

                        
                          2.5
                        

                        
                          1.8
                        

                        
                          1.6
                        

                        
                          0.7
                        

                        
                          0.2
                        

                        
                          1.6",40,19.2,1.8,20.333333333333332
"Sabrina Ionescu
                          

                            S Ionescu
                          

                        
                          
                              $202,000
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          32.1
                        

                        
                          18.2
                        

                        
                          6.3
                        

                        
                          16.0
                        

                        
                          39.4%
                        

                        
                          3.5
                        

                        
                          7.5
                        

                        
                          46.3%
                        

                        
                          2.8
                        

                        
                          8.5
                        

                        
                          33.2%
                        

                        
                          2.8
                        

                        
                          3.1
                        

                        
                          89.8%
                        

                        
                          0.7
                        

                        
                          3.7
                        

                        
                          4.4
                        

                        
                          6.2
                        

                        
                          2.7
                        

                        
                          1.0
                        

                        
                          0.3
                        

                        
                          1.2",38,18.2,6.2,20.8
"Satou Sabally
                          

                            S Sabally
                          

                        
                          
                              $195,000
                          
                        
                    
                      
                        
                          
                            RFA
                          
                        
                    

                    

                    
                      
                        
                          15
                        

                        
                          15
                        

                        
                          34.2
                        

                        
                          17.9
                        

                        
                          5.9
                        

                        
                          13.9
                        

                        
                          42.6%
                        

                        
                          3.4
                        

                        
                          8.3
                        

                        
                          40.8%
                        

                        
                          2.5
                        

                        
                          5.6
                        

                        
                          45.2%
                        

                        
                          3.5
                        

                        
                          4.5
                        

                        
                          77.9%
                        

                        
                          1.2
                        

                        
                          5.2
                        

                        
                          6.4
                        

                        
                          5.0
                        

                        
                          2.5
                        

                        
                          1.3
                        

                        
                          0.5
                        

                        
                          3.2",15,17.9,5.0,12.633333333333333
"Kelsey Plum
                          

                            K Plum
                          

                        
                          
                              $200,000
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          34.0
                        

                        
                          17.8
                        

                        
                          6.1
                        

                        
                          14.4
                        

                        
                          42.3%
                        

                        
                          3.2
                        

                        
                          6.6
                        

                        
                          48.8%
                        

                        
                          2.9
                        

                        
                          7.9
                        

                        
                          36.8%
                        

                        
                          2.7
                        

                        
                          3.1
                        

                        
                          86.6%
                        

                        
                          0.3
                        

                        
                          2.3
                        

                        
                          2.6
                        

                        
                          4.2
                        

                        
                          2.4
                        

                        
                          0.7
                        

                        
                          0.0
                        

                        
                          2.7",38,17.8,4.2,20.0
"Brittney Griner
                          

                            B Griner
                          

                        
                          
                              $150,000
                          
                        
                    
                      
                        
                          
                            UFA
                          
                        
                    

                    

                    
                      
                        
                          30
                        

                        
                          30
                        

                        
                          28.7
                        

                        
                          17.8
                        

                        
                          7.3
                        

                        
                          12.6
                        

                        
                          57.9%
                        

                        
                          7.0
                        

                        
                          12.0
                        

                        
                          58.3%
                        

                        
                          0.3
                        

                        
                          0.6
                        

                        
                          50.0%
                        

                        
                          2.9
                        

                        
                          3.7
                        

                        
                          77.7%
                        

                        
                          1.8
                        

                        
                          4.8
                        

                        
                          6.6
                        

                        
                          2.3
                        

                        
                          1.8
                        

                        
                          0.5
                        

                        
                          1.5
                        

                        
                          1.9",30,17.8,2.3,16.7
"Natasha Howard
                          

                            N Howard
                          

                        
                          
                              $234,350
                          
                        
                    
                      
                        
                          
                            Core
                          
                        
                    

                    

                    
                      
                        
                          27
                        

                        
                          26
                        

                        
                          30.5
                        

                        
                          17.6
                        

                        
                          6.9
                        

                        
                          15.2
                        

                        
                          45.6%
                        

                        
                          6.5
                        

                        
                          13.1
                        

                        
                          49.6%
                        

                        
                          0.4
                        

                        
                          2.0
                        

                        
                          20.0%
                        

                        
                          3.3
                        

                        
                          4.6
                        

                        
                          71.8%
                        

                        
                          2.0
                        

                        
                          4.8
                        

                        
                          6.7
                        

                        
                          2.9
                        

                        
                          2.8
                        

                        
                          1.3
                        

                        
                          0.8
                        

                        
                          3.1",27,17.6,2.9,15.833333333333334
"Chennedy Carter
                          

                            C Carter
                          

                        
                          
                              $76,535
                          
                        
                    
                      
                        
                          
                            UFA
                          
                        
                    

                    

                    
                      
                        
                          33
                        

                        
                          20
                        

                        
                          26.0
                        

                        
                          17.5
                        

                        
                          7.2
                        

                        
                          14.8
                        

                        
                          48.7%
                        

                        
                          6.9
                        

                        
                          13.9
                        

                        
                          50.0%
                        

                        
                          0.3
                        

                        
                          0.9
                        

                        
                          29.0%
                        

                        
                          2.8
                        

                        
                          3.8
                        

                        
                          73.0%
                        

                        
                          0.7
                        

                        
                          2.9
                        

                        
                          3.5
                        

                        
                          3.1
                        

                        
                          1.7
                        

                        
                          1.1
                        

                        
                          0.2
                        

                        
                          3.2",33,17.5,3.1,17.866666666666667
"Rhyne Howard
                          

                            R Howard
                          

                        
                          
                              $80,943
                          
                        
                    
                      
                        
                          
                            Rookie
                          
                        
                    

                    

                    
                      
                        
                          30
                        

                        
                          29
                        

                        
                          33.9
                        

                        
                          17.3
                        

                        
                          5.6
                        

                        
                          15.0
                        

                        
                          37.1%
                        

                        
                          2.9
                        

                        
                          6.9
                        

                        
                          42.0%
                        

                        
                          2.7
                        

                        
                          8.1
                        

                        
                          32.9%
                        

                        
                          3.5
                        

                        
                          4.5
                        

                        
                          78.4%
                        

                        
                          0.8
                        

                        
                          3.5
                        

                        
                          4.4
                        

                        
                          3.1
                        

                        
                          1.7
                        

                        
                          1.8
                        

                        
                          0.6
                        

                        
                          2.1",30,17.3,3.1,16.8
"Dearica Hamby
                          

                            D Hamby
                          

                        
                          
                              $189,000
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          33.7
                        

                        
                          17.3
                        

                        
                          6.7
                        

                        
                          13.1
                        

                        
                          51.2%
                        

                        
                          6.0
                        

                        
                          10.9
                        

                        
                          54.7%
                        

                        
                          0.8
                        

                        
                          2.2
                        

                        
                          34.1%
                        

                        
                          3.1
                        

                        
                          5.0
                        

                        
                          63.1%
                        

                        
                          1.5
                        

                        
                          7.7
                        

                        
                          9.2
                        

                        
                          3.5
                        

                        
                          3.0
                        

                        
                          1.7
                        

                        
                          0.2
                        

                        
                          2.8",40,17.3,3.5,20.266666666666666
"Nneka Ogwumike
                          

                            N Ogwumike
                          

                        
                          
                              $204,500
                          
                        
                    
                      
                        
                          
                            UFA
                          
                        
                    

                    

                    
                      
                        
                          37
                        

                        
                          37
                        

                        
                          31.8
                        

                        
                          16.7
                        

                        
                          6.8
                        

                        
                          13.3
                        

                        
                          51.1%
                        

                        
                          6.0
                        

                        
                          11.3
                        

                        
                          53.0%
                        

                        
                          0.8
                        

                        
                          2.0
                        

                        
                          40.5%
                        

                        
                          2.3
                        

                        
                          2.6
                        

                        
                          87.6%
                        

                        
                          1.9
                        

                        
                          5.7
                        

                        
                          7.6
                        

                        
                          2.3
                        

                        
                          1.3
                        

                        
                          1.9
                        

                        
                          0.5
                        

                        
                          2.3",37,16.7,2.3,18.666666666666668
"Jackie Young
                          

                            J Young
                          

                        
                          
                              $169,950
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          37
                        

                        
                          37
                        

                        
                          32.6
                        

                        
                          15.8
                        

                        
                          5.4
                        

                        
                          12.6
                        

                        
                          43.0%
                        

                        
                          3.5
                        

                        
                          7.0
                        

                        
                          50.6%
                        

                        
                          1.9
                        

                        
                          5.6
                        

                        
                          33.7%
                        

                        
                          3.0
                        

                        
                          3.5
                        

                        
                          86.7%
                        

                        
                          0.7
                        

                        
                          3.6
                        

                        
                          4.4
                        

                        
                          5.3
                        

                        
                          2.1
                        

                        
                          1.0
                        

                        
                          0.2
                        

                        
                          2.5",37,15.8,5.3,19.366666666666664
"Allisha Gray
                          

                            A Gray
                          

                        
                          
                              $185,000
                          
                        
                    
                      
                        
                          
                            RFA
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          33.2
                        

                        
                          15.6
                        

                        
                          5.1
                        

                        
                          12.7
                        

                        
                          40.3%
                        

                        
                          3.4
                        

                        
                          7.7
                        

                        
                          44.3%
                        

                        
                          1.7
                        

                        
                          5.1
                        

                        
                          34.2%
                        

                        
                          3.6
                        

                        
                          4.7
                        

                        
                          76.9%
                        

                        
                          1.1
                        

                        
                          3.3
                        

                        
                          4.4
                        

                        
                          2.7
                        

                        
                          1.7
                        

                        
                          1.1
                        

                        
                          0.7
                        

                        
                          2.4",40,15.6,2.7,19.433333333333334
