Player,2024 Salary,2024 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
"Jewell Loyd
                          

                            J Loyd
                          

                        
                          
                              $241,984
                          
                        
                    
                      
                        
                          
                            Core
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          35.4
                        

                        
                          24.7
                        

                        
                          7.5
                        

                        
                          20.3
                        

                        
                          37.0%
                        

                        
                          4.5
                        

                        
                          11.8
                        

                        
                          38.0%
                        

                        
                          3.0
                        

                        
                          8.5
                        

                        
                          35.6%
                        

                        
                          6.7
                        

                        
                          7.5
                        

                        
                          88.8%
                        

                        
                          1.1
                        

                        
                          3.6
                        

                        
                          4.7
                        

                        
                          3.4
                        

                        
                          2.8
                        

                        
                          1.0
                        

                        
                          0.4
                        

                        
                          1.7","$241,984
                          
                        
                    
                      
                        
                          
                            Core
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          35.4
                        

                        
                          24.7
                        

                        
                          7.5
                        

                        
                          20.3
                        

                        
                          37.0%
                        

                        
                          4.5
                        

                        
                          11.8
                        

                        
                          38.0%
                        

                        
                          3.0
                        

                        
                          8.5
                        

                        
                          35.6%
                        

                        
                          6.7
                        

                        
                          7.5
                        

                        
                          88.8%
                        

                        
                          1.1
                        

                        
                          3.6
                        

                        
                          4.7
                        

                        
                          3.4
                        

                        
                          2.8
                        

                        
                          1.0
                        

                        
                          0.4
                        

                        
                          1.7","Core
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          35.4
                        

                        
                          24.7
                        

                        
                          7.5
                        

                        
                          20.3
                        

                        
                          37.0%
                        

                        
                          4.5
                        

                        
                          11.8
                        

                        
                          38.0%
                        

                        
                          3.0
                        

                        
                          8.5
                        

                        
                          35.6%
                        

                        
                          6.7
                        

                        
                          7.5
                        

                        
                          88.8%
                        

                        
                          1.1
                        

                        
                          3.6
                        

                        
                          4.7
                        

                        
                          3.4
                        

                        
                          2.8
                        

                        
                          1.0
                        

                        
                          0.4
                        

                        
                          1.7",38,38,35.4,24.7,7.5,20.3,37.0%,4.5,11.8,38.0%,3.0,8.5,35.6%,6.7,7.5,88.8%,1.1,3.6,4.7,3.4,2.8,1.0,0.4,1.7
"Breanna Stewart
                          

                            B Stewart
                          

                        
                          
                              $205,000
                          
                        
                    
                      
                        
                          
                            Core
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          34.1
                        

                        
                          23.0
                        

                        
                          7.9
                        

                        
                          17.0
                        

                        
                          46.5%
                        

                        
                          5.9
                        

                        
                          11.2
                        

                        
                          52.1%
                        

                        
                          2.1
                        

                        
                          5.8
                        

                        
                          35.5%
                        

                        
                          5.1
                        

                        
                          6.0
                        

                        
                          85.1%
                        

                        
                          1.6
                        

                        
                          7.7
                        

                        
                          9.3
                        

                        
                          3.8
                        

                        
                          1.5
                        

                        
                          1.5
                        

                        
                          1.6
                        

                        
                          1.9","$205,000
                          
                        
                    
                      
                        
                          
                            Core
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          34.1
                        

                        
                          23.0
                        

                        
                          7.9
                        

                        
                          17.0
                        

                        
                          46.5%
                        

                        
                          5.9
                        

                        
                          11.2
                        

                        
                          52.1%
                        

                        
                          2.1
                        

                        
                          5.8
                        

                        
                          35.5%
                        

                        
                          5.1
                        

                        
                          6.0
                        

                        
                          85.1%
                        

                        
                          1.6
                        

                        
                          7.7
                        

                        
                          9.3
                        

                        
                          3.8
                        

                        
                          1.5
                        

                        
                          1.5
                        

                        
                          1.6
                        

                        
                          1.9","Core
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          34.1
                        

                        
                          23.0
                        

                        
                          7.9
                        

                        
                          17.0
                        

                        
                          46.5%
                        

                        
                          5.9
                        

                        
                          11.2
                        

                        
                          52.1%
                        

                        
                          2.1
                        

                        
                          5.8
                        

                        
                          35.5%
                        

                        
                          5.1
                        

                        
                          6.0
                        

                        
                          85.1%
                        

                        
                          1.6
                        

                        
                          7.7
                        

                        
                          9.3
                        

                        
                          3.8
                        

                        
                          1.5
                        

                        
                          1.5
                        

                        
                          1.6
                        

                        
                          1.9",40,40,34.1,23.0,7.9,17.0,46.5%,5.9,11.2,52.1%,2.1,5.8,35.5%,5.1,6.0,85.1%,1.6,7.7,9.3,3.8,1.5,1.5,1.6,1.9
"A'ja Wilson
                          

                            A Wilson
                          

                        
                          
                              $227,303
                          
                        
                    
                      
                        
                          
                            RFA
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          30.7
                        

                        
                          22.8
                        

                        
                          8.4
                        

                        
                          15.0
                        

                        
                          55.7%
                        

                        
                          8.2
                        

                        
                          14.3
                        

                        
                          57.0%
                        

                        
                          0.2
                        

                        
                          0.7
                        

                        
                          31.0%
                        

                        
                          5.8
                        

                        
                          7.2
                        

                        
                          81.2%
                        

                        
                          2.1
                        

                        
                          7.5
                        

                        
                          9.5
                        

                        
                          1.6
                        

                        
                          1.6
                        

                        
                          1.4
                        

                        
                          2.2
                        

                        
                          2.1","$227,303
                          
                        
                    
                      
                        
                          
                            RFA
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          30.7
                        

                        
                          22.8
                        

                        
                          8.4
                        

                        
                          15.0
                        

                        
                          55.7%
                        

                        
                          8.2
                        

                        
                          14.3
                        

                        
                          57.0%
                        

                        
                          0.2
                        

                        
                          0.7
                        

                        
                          31.0%
                        

                        
                          5.8
                        

                        
                          7.2
                        

                        
                          81.2%
                        

                        
                          2.1
                        

                        
                          7.5
                        

                        
                          9.5
                        

                        
                          1.6
                        

                        
                          1.6
                        

                        
                          1.4
                        

                        
                          2.2
                        

                        
                          2.1","RFA
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          30.7
                        

                        
                          22.8
                        

                        
                          8.4
                        

                        
                          15.0
                        

                        
                          55.7%
                        

                        
                          8.2
                        

                        
                          14.3
                        

                        
                          57.0%
                        

                        
                          0.2
                        

                        
                          0.7
                        

                        
                          31.0%
                        

                        
                          5.8
                        

                        
                          7.2
                        

                        
                          81.2%
                        

                        
                          2.1
                        

                        
                          7.5
                        

                        
                          9.5
                        

                        
                          1.6
                        

                        
                          1.6
                        

                        
                          1.4
                        

                        
                          2.2
                        

                        
                          2.1",40,40,30.7,22.8,8.4,15.0,55.7%,8.2,14.3,57.0%,0.2,0.7,31.0%,5.8,7.2,81.2%,2.1,7.5,9.5,1.6,1.6,1.4,2.2,2.1
"Napheesa Collier
                          

                            N Collier
                          

                        
                          
                              $215,469
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          37
                        

                        
                          37
                        

                        
                          33.5
                        

                        
                          21.5
                        

                        
                          8.0
                        

                        
                          16.6
                        

                        
                          48.5%
                        

                        
                          7.1
                        

                        
                          13.5
                        

                        
                          52.7%
                        

                        
                          0.9
                        

                        
                          3.1
                        

                        
                          29.8%
                        

                        
                          4.5
                        

                        
                          5.4
                        

                        
                          84.0%
                        

                        
                          1.9
                        

                        
                          6.6
                        

                        
                          8.5
                        

                        
                          2.5
                        

                        
                          2.4
                        

                        
                          1.6
                        

                        
                          1.2
                        

                        
                          2.4","$215,469
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          37
                        

                        
                          37
                        

                        
                          33.5
                        

                        
                          21.5
                        

                        
                          8.0
                        

                        
                          16.6
                        

                        
                          48.5%
                        

                        
                          7.1
                        

                        
                          13.5
                        

                        
                          52.7%
                        

                        
                          0.9
                        

                        
                          3.1
                        

                        
                          29.8%
                        

                        
                          4.5
                        

                        
                          5.4
                        

                        
                          84.0%
                        

                        
                          1.9
                        

                        
                          6.6
                        

                        
                          8.5
                        

                        
                          2.5
                        

                        
                          2.4
                        

                        
                          1.6
                        

                        
                          1.2
                        

                        
                          2.4","--
                          
                        
                    

                    

                    
                      
                        
                          37
                        

                        
                          37
                        

                        
                          33.5
                        

                        
                          21.5
                        

                        
                          8.0
                        

                        
                          16.6
                        

                        
                          48.5%
                        

                        
                          7.1
                        

                        
                          13.5
                        

                        
                          52.7%
                        

                        
                          0.9
                        

                        
                          3.1
                        

                        
                          29.8%
                        

                        
                          4.5
                        

                        
                          5.4
                        

                        
                          84.0%
                        

                        
                          1.9
                        

                        
                          6.6
                        

                        
                          8.5
                        

                        
                          2.5
                        

                        
                          2.4
                        

                        
                          1.6
                        

                        
                          1.2
                        

                        
                          2.4",37,37,33.5,21.5,8.0,16.6,48.5%,7.1,13.5,52.7%,0.9,3.1,29.8%,4.5,5.4,84.0%,1.9,6.6,8.5,2.5,2.4,1.6,1.2,2.4
"Arike Ogunbowale
                          

                            A Ogunbowale
                          

                        
                          
                              $241,984
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          37.2
                        

                        
                          21.2
                        

                        
                          7.5
                        

                        
                          18.8
                        

                        
                          39.8%
                        

                        
                          4.6
                        

                        
                          10.3
                        

                        
                          44.3%
                        

                        
                          2.9
                        

                        
                          8.5
                        

                        
                          34.3%
                        

                        
                          3.4
                        

                        
                          3.8
                        

                        
                          87.6%
                        

                        
                          0.5
                        

                        
                          2.9
                        

                        
                          3.4
                        

                        
                          4.5
                        

                        
                          2.6
                        

                        
                          1.7
                        

                        
                          0.1
                        

                        
                          2.7","$241,984
                          
                        
                    
                      
                        
                          
                            --
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          37.2
                        

                        
                          21.2
                        

                        
                          7.5
                        

                        
                          18.8
                        

                        
                          39.8%
                        

                        
                          4.6
                        

                        
                          10.3
                        

                        
                          44.3%
                        

                        
                          2.9
                        

                        
                          8.5
                        

                        
                          34.3%
                        

                        
                          3.4
                        

                        
                          3.8
                        

                        
                          87.6%
                        

                        
                          0.5
                        

                        
                          2.9
                        

                        
                          3.4
                        

                        
                          4.5
                        

                        
                          2.6
                        

                        
                          1.7
                        

                        
                          0.1
                        

                        
                          2.7","--
                          
                        
                    

                    

                    
                      
                        
                          40
                        

                        
                          40
                        

                        
                          37.2
                        

                        
                          21.2
                        

                        
                          7.5
                        

                        
                          18.8
                        

                        
                          39.8%
                        

                        
                          4.6
                        

                        
                          10.3
                        

                        
                          44.3%
                        

                        
                          2.9
                        

                        
                          8.5
                        

                        
                          34.3%
                        

                        
                          3.4
                        

                        
                          3.8
                        

                        
                          87.6%
                        

                        
                          0.5
                        

                        
                          2.9
                        

                        
                          3.4
                        

                        
                          4.5
                        

                        
                          2.6
                        

                        
                          1.7
                        

                        
                          0.1
                        

                        
                          2.7",40,40,37.2,21.2,7.5,18.8,39.8%,4.6,10.3,44.3%,2.9,8.5,34.3%,3.4,3.8,87.6%,0.5,2.9,3.4,4.5,2.6,1.7,0.1,2.7
"Nneka Ogwumike
                          

                            N Ogwumike
                          

                        
                          
                              $204,500
                          
                        
                    
                      
                        
                          
                            UFA
                          
                        
                    

                    

                    
                      
                        
                          36
                        

                        
                          36
                        

                        
                          31.1
                        

                        
                          19.1
                        

                        
                          7.3
                        

                        
                          14.3
                        

                        
                          51.2%
                        

                        
                          6.8
                        

                        
                          12.6
                        

                        
                          53.5%
                        

                        
                          0.6
                        

                        
                          1.7
                        

                        
                          33.9%
                        

                        
                          3.9
                        

                        
                          4.5
                        

                        
                          87.0%
                        

                        
                          1.7
                        

                        
                          7.1
                        

                        
                          8.8
                        

                        
                          2.7
                        

                        
                          2.2
                        

                        
                          1.7
                        

                        
                          0.7
                        

                        
                          2.6","$204,500
                          
                        
                    
                      
                        
                          
                            UFA
                          
                        
                    

                    

                    
                      
                        
                          36
                        

                        
                          36
                        

                        
                          31.1
                        

                        
                          19.1
                        

                        
                          7.3
                        

                        
                          14.3
                        

                        
                          51.2%
                        

                        
                          6.8
                        

                        
                          12.6
                        

                        
                          53.5%
                        

                        
                          0.6
                        

                        
                          1.7
                        

                        
                          33.9%
                        

                        
                          3.9
                        

                        
                          4.5
                        

                        
                          87.0%
                        

                        
                          1.7
                        

                        
                          7.1
                        

                        
                          8.8
                        

                        
                          2.7
                        

                        
                          2.2
                        

                        
                          1.7
                        

                        
                          0.7
                        

                        
                          2.6","UFA
                          
                        
                    

                    

                    
                      
                        
                          36
                        

                        
                          36
                        

                        
                          31.1
                        

                        
                          19.1
                        

                        
                          7.3
                        

                        
                          14.3
                        

                        
                          51.2%
                        

                        
                          6.8
                        

                        
                          12.6
                        

                        
                          53.5%
                        

                        
                          0.6
                        

                        
                          1.7
                        

                        
                          33.9%
                        

                        
                          3.9
                        

                        
                          4.5
                        

                        
                          87.0%
                        

                        
                          1.7
                        

                        
                          7.1
                        

                        
                          8.8
                        

                        
                          2.7
                        

                        
                          2.2
                        

                        
                          1.7
                        

                        
                          0.7
                        

                        
                          2.6",36,36,31.1,19.1,7.3,14.3,51.2%,6.8,12.6,53.5%,0.6,1.7,33.9%,3.9,4.5,87.0%,1.7,7.1,8.8,2.7,2.2,1.7,0.7,2.6
"Kahleah Copper
                          

                            K Copper
                          

                        
                          
                              $241,984
                          
                        
                    
                      
                        
                          
                            Core
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          31.2
                        

                        
                          18.7
                        

                        
                          6.9
                        

                        
                          15.4
                        

                        
                          44.8%
                        

                        
                          5.1
                        

                        
                          10.9
                        

                        
                          46.6%
                        

                        
                          1.8
                        

                        
                          4.5
                        

                        
                          40.4%
                        

                        
                          3.1
                        

                        
                          4.0
                        

                        
                          77.0%
                        

                        
                          0.7
                        

                        
                          3.7
                        

                        
                          4.4
                        

                        
                          2.0
                        

                        
                          2.5
                        

                        
                          0.9
                        

                        
                          0.3
                        

                        
                          2.4","$241,984
                          
                        
                    
                      
                        
                          
                            Core
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          31.2
                        

                        
                          18.7
                        

                        
                          6.9
                        

                        
                          15.4
                        

                        
                          44.8%
                        

                        
                          5.1
                        

                        
                          10.9
                        

                        
                          46.6%
                        

                        
                          1.8
                        

                        
                          4.5
                        

                        
                          40.4%
                        

                        
                          3.1
                        

                        
                          4.0
                        

                        
                          77.0%
                        

                        
                          0.7
                        

                        
                          3.7
                        

                        
                          4.4
                        

                        
                          2.0
                        

                        
                          2.5
                        

                        
                          0.9
                        

                        
                          0.3
                        

                        
                          2.4","Core
                          
                        
                    

                    

                    
                      
                        
                          38
                        

                        
                          38
                        

                        
                          31.2
                        

                        
                          18.7
                        

                        
                          6.9
                        

                        
                          15.4
                        

                        
                          44.8%
                        

                        
                          5.1
                        

                        
                          10.9
                        

                        
                          46.6%
                        

                        
                          1.8
                        

                        
                          4.5
                        

                        
                          40.4%
                        

                        
                          3.1
                        

                        
                          4.0
                        

                        
                          77.0%
                        

                        
                          0.7
                        

                        
                          3.7
                        

                        
                          4.4
                        

                        
                          2.0
                        

                        
                          2.5
                        

                        
                          0.9
                        

                        
                          0.3
                        

                        
                          2.4",38,38,31.2,18.7,6.9,15.4,44.8%,5.1,10.9,46.6%,1.8,4.5,40.4%,3.1,4.0,77.0%,0.7,3.7,4.4,2.0,2.5,0.9,0.3,2.4
