Player,PTS,AST,ORB,O-PER
A'ja Wilson,26.9,2.3,2.1,10.4
Arike Ogunbowale,22.2,5.1,0.8,9.4
Kahleah Copper,21.1,2.3,0.6,8.0
Breanna Stewart,20.4,3.5,1.6,8.5
Napheesa Collier,20.4,3.4,2.2,8.7
Jewell Loyd,19.7,3.6,0.7,8.0
Caitlin Clark,19.2,8.4,0.4,9.3
Kelsey Mitchell,19.2,1.8,0.7,7.2
Sabrina Ionescu,18.2,6.2,0.7,8.4
Satou Sabally,17.9,5.0,1.2,8.0
Kelsey Plum,17.8,4.2,0.3,7.4
Brittney Griner,17.8,2.3,1.8,7.3
Natasha Howard,17.6,2.9,2.0,7.5
Chennedy Carter,17.5,3.1,0.7,7.1
Rhyne Howard,17.3,3.1,0.8,7.1
Dearica Hamby,17.3,3.5,1.5,7.4
Nneka Ogwumike,16.7,2.3,1.9,7.0
Jackie Young,15.8,5.3,0.7,7.3
Allisha Gray,15.6,2.7,1.1,6.5
Skylar Diggins-Smith,15.1,6.4,0.7,7.4
Kayla McBride,15.0,3.2,0.4,6.2
DeWanna Bonner,15.0,2.0,0.6,5.9
Diana Taurasi,14.9,3.4,0.4,6.2
Ariel Atkins,14.9,3.1,0.9,6.3
Tina Charles,14.9,2.3,2.5,6.6
Marina Mabrey,14.4,4.1,0.6,6.4
Jonquel Jones,14.2,3.2,1.7,6.4
Aliyah Boston,14.0,3.2,2.8,6.7
Brionna Jones,13.7,1.5,2.2,5.8
Angel Reese,13.6,1.9,5.1,6.9
Rickea Jackson,13.4,1.5,1.3,5.4
DiJonai Carrington,12.7,1.6,1.4,5.2
Odyssey Sims,12.6,5.3,0.7,6.2
Odyssey Sims,12.6,5.3,0.7,6.2
Odyssey Sims,12.6,5.3,0.7,6.2
Brittney Sykes,12.2,3.1,0.6,5.3
Shakira Austin,11.8,0.9,1.8,4.8
Teaira McCowan,11.7,1.6,2.9,5.4
Ezi Magbegor,11.7,2.0,2.2,5.3
Natasha Cloud,11.5,6.9,0.5,6.3
Courtney Williams,11.1,5.5,0.4,5.7
Alyssa Thomas,10.6,7.9,2.5,7.0
NaLyssa Smith,10.6,1.0,1.8,4.5
Jordin Canada,10.6,5.8,0.6,5.7
Tyasha Harris,10.5,3.0,0.3,4.6
Gabby Williams,10.3,3.7,0.8,4.9
Alanna Smith,10.1,3.2,1.6,5.0
Elizabeth Williams,10.0,1.6,2.8,4.8
Kamilla Cardoso,9.8,1.7,3.0,4.8
Azurá Stevens,9.6,1.9,1.0,4.2
